For Zaki;dc:title;For Zaki
For Zaki;rdf:type;Song
For Zaki;mo:composer;Andrea Marchesini & Marta dell'Anno
For Zaki;mo:performer;Andrea Marchesini & Marta dell'Anno
For Zaki;schema:productionCompany;Controra Records
For Zaki;schema:copyrightHolder;MID SIDE Aps
For Zaki;mo:performed in;"Documentary ""Waiting for Patrick"" by Valerio lo Muzio for Repubblica: https://video.repubblica.it/edizione/bologna/waiting-for-patrick-un-anno-senza-zaki-la-lunga-attesa-per-la-sua-liberta/375915/376529
"
For Zaki;dbo:releaseDate;2021
For Zaki;mo:duration;4 min 38 sec
For Zaki;mo:genre;Acoustic music
For Zaki;mo:publishingLocation;Spotify
For Zaki;mo:djmixed_by;Feliciano Chiriaco
For Zaki;schema:illustrator;Gianluca Costantini
For Zaki;schema:associatedMedia;Video youtube: https://www.youtube.com/watch?v=S9woJ-Pab14
