Freedom for Patrick Zaki drawing;dc:title;"""Freedom for Patrick Zaki"""
Freedom for Patrick Zaki drawing;dcterms:spatial;Italy
Freedom for Patrick Zaki drawing;rdf:type;drawing
Freedom for Patrick Zaki drawing;schema:genre;Illustration
Freedom for Patrick Zaki drawing;crm:P62_depicts;Patrick Zaki
Freedom for Patrick Zaki drawing;dc:creator;Gianluca Costantini
Freedom for Patrick Zaki drawing;lido:inscriptionTranscription;"""Freedom for Patrick Zaki. Egypt"""
Freedom for Patrick Zaki drawing;lido:displayDate;07 February, 2020
Freedom for Patrick Zaki drawing;modsrdf:typeOfResource;digital
Freedom for Patrick Zaki drawing;lido:formatMeasurements;4612 x 2480 px
Freedom for Patrick Zaki drawing;dc:subject;"Freedom; Patrick Zaki; barbed wires"
Freedom for Patrick Zaki drawing;schema:url;https://drive.google.com/file/d/1E9YB7ZjO2CVHlxqRV6GYjV-5LavpVELP/view
