Master Gemma Website ;premis:originalName;Master Gemma Website 
Master Gemma Website ;rdf:type;website
Master Gemma Website ;premis:purpose;Website about the Erasmus Mundus international master on women and gender studies
Master Gemma Website ;dbo:management;University of Granada
Master Gemma Website ;premis:relationship;European Commission
Master Gemma Website ;premis:startDate;2006
Master Gemma Website ;<originInfo>;Spain
Master Gemma Website ;premis:storedAt;https://masteres.ugr.es/gemma/
Master Gemma Website ;"premis:relationship
";"University of Granada; University of Bologna; Central European University (Budapest); University of Hull; University of York; University of Lód?; University of Oviedo; University of Utrecht;
"
Master Gemma Website ;dc:language;English and Spanish
Master Gemma Website ;frbroo:R6_carries;web content
Master Gemma Website ;dc:modified;12.04.2021
