"""We do unreasonable things here"" : torture and national security in al-Sisi's Egypt.";dc:title;"""We do unreasonable things here"" : torture and national security in al-Sisi's Egypt."
"""We do unreasonable things here"" : torture and national security in al-Sisi's Egypt.";rdf:type;Written text
"""We do unreasonable things here"" : torture and national security in al-Sisi's Egypt.";dc:subject;"Abuses and crimes in Tora Prison in Egypt; political prisoners and human rights 
"
"""We do unreasonable things here"" : torture and national security in al-Sisi's Egypt.";dc:creator;Human Rights Watch (Organization)
"""We do unreasonable things here"" : torture and national security in al-Sisi's Egypt.";<originInfo>;New York N.Y.
"""We do unreasonable things here"" : torture and national security in al-Sisi's Egypt.";<dateIssued>;September 28th, 2016
"""We do unreasonable things here"" : torture and national security in al-Sisi's Egypt.";<physicalDescription>;"80 pages :color illustrations ; 26 cm."
"""We do unreasonable things here"" : torture and national security in al-Sisi's Egypt.";schema:itemLocation;Library of Congress Catalog
"""We do unreasonable things here"" : torture and national security in al-Sisi's Egypt.";schema:url;https://www.hrw.org/report/2016/09/28/we-are-tombs/abuses-egypts-scorpion-prison 
"""We do unreasonable things here"" : torture and national security in al-Sisi's Egypt.";dc:language;English and arabic
